,Facilidade,Clientes,Coord_Clientes,Coord_Facilidade,Coord_cliente_facilidade,Tempo
538,HOSP. G. GUARÚS,São Martinho,"(-22.0103593, -41.210161)","(-21.7413698, -41.3129263)","((-22.0103593, -41.210161), (-21.7413698, -41.3129263))",3316
539,HOSP. G. GUARÚS,São Sebastião de Campos,"(-21.8551344, -41.2114491)","(-21.7413698, -41.3129263)","((-21.8551344, -41.2114491), (-21.7413698, -41.3129263))",2306
540,HOSP. G. GUARÚS,Saturnino Braga,"(-21.8882808, -41.1980852)","(-21.7413698, -41.3129263)","((-21.8882808, -41.1980852), (-21.7413698, -41.3129263))",2584
541,HOSP. G. GUARÚS,Tapera,"(-21.788252, -41.3936825)","(-21.7413698, -41.3129263)","((-21.788252, -41.3936825), (-21.7413698, -41.3129263))",1353
542,HOSP. G. GUARÚS,Terra Prometida,"(-21.7139788, -41.2798345)","(-21.7413698, -41.3129263)","((-21.7139788, -41.2798345), (-21.7413698, -41.3129263))",984
543,HOSP. G. GUARÚS,Tocos,"(-21.9007729, -41.2831951)","(-21.7413698, -41.3129263)","((-21.9007729, -41.2831951), (-21.7413698, -41.3129263))",2316
544,HOSP. G. GUARÚS,Travessão,"(-21.6070678, -41.3126835)","(-21.7413698, -41.3129263)","((-21.6070678, -41.3126835), (-21.7413698, -41.3129263))",1350
545,HOSP. G. GUARÚS,Ururai,"(-21.8117267, -41.3924302)","(-21.7413698, -41.3129263)","((-21.8117267, -41.3924302), (-21.7413698, -41.3129263))",1525
546,HOSP. G. GUARÚS,Venda Nova,"(-21.7806964, -41.1893024)","(-21.7413698, -41.3129263)","((-21.7806964, -41.1893024), (-21.7413698, -41.3129263))",1768
547,HOSP. G. GUARÚS,Vila da Rainha,"(-21.7700086, -41.293405)","(-21.7413698, -41.3129263)","((-21.7700086, -41.293405), (-21.7413698, -41.3129263))",903
548,HOSP. G. GUARÚS,Vila Industrial,"(-21.7156956, -41.2950799)","(-21.7413698, -41.3129263)","((-21.7156956, -41.2950799), (-21.7413698, -41.3129263))",803
549,HOSP. G. GUARÚS,Vila Manhães,"(-21.7915221, -41.2745829)","(-21.7413698, -41.3129263)","((-21.7915221, -41.2745829), (-21.7413698, -41.3129263))",1299
550,HOSP. G. GUARÚS,Av. Dom Bosco,"(-21.7591468, -41.3400034)","(-21.7413698, -41.3129263)","((-21.7591468, -41.3400034), (-21.7413698, -41.3129263))",804
552,HOSP. G. GUARÚS,Estr. Poço Gordo,"(-21.830839, -41.2308837)","(-21.7413698, -41.3129263)","((-21.830839, -41.2308837), (-21.7413698, -41.3129263))",1906
553,HOSP. G. GUARÚS,Igreja Batista Jardim Ceasa,"(-21.7178297, -41.3022266)","(-21.7413698, -41.3129263)","((-21.7178297, -41.3022266), (-21.7413698, -41.3129263))",644
555,HOSP. G. GUARÚS,Paraiso da Benção,"(-21.760452, -41.3266466)","(-21.7413698, -41.3129263)","((-21.760452, -41.3266466), (-21.7413698, -41.3129263))",591
556,HOSP. G. GUARÚS,Parque Barão do Rio Branco,"(-21.7336254, -41.3117783)","(-21.7413698, -41.3129263)","((-21.7336254, -41.3117783), (-21.7413698, -41.3129263))",324
558,HOSP. G. GUARÚS,Pernambucanas,"(-21.7543225, -41.3487367)","(-21.7413698, -41.3129263)","((-21.7543225, -41.3487367), (-21.7413698, -41.3129263))",965
559,HOSP. G. GUARÚS,Ponto da Lama,"(-21.8370393, -41.4279283)","(-21.7413698, -41.3129263)","((-21.8370393, -41.4279283), (-21.7413698, -41.3129263))",1792
560,HOSP. G. GUARÚS,Av. Pelinca,"(-21.7595963, -41.3341974)","(-21.7413698, -41.3129263)","((-21.7595963, -41.3341974), (-21.7413698, -41.3129263))",698
561,HOSP. G. GUARÚS,Av. Santa Rosa,"(-21.726035, -41.3080528)","(-21.7413698, -41.3129263)","((-21.726035, -41.3080528), (-21.7413698, -41.3129263))",439
562,HOSP. G. GUARÚS,Julião Nogueira,"(-21.7504512, -41.3525693)","(-21.7413698, -41.3129263)","((-21.7504512, -41.3525693), (-21.7413698, -41.3129263))",959
563,HOSP. G. GUARÚS,Parque Canaã,"(-21.6568988, -41.313475)","(-21.7413698, -41.3129263)","((-21.6568988, -41.313475), (-21.7413698, -41.3129263))",1095
564,HOSP. G. GUARÚS,Parque Ceasa,"(-21.7206644, -41.2996777)","(-21.7413698, -41.3129263)","((-21.7206644, -41.2996777), (-21.7413698, -41.3129263))",626
565,HOSP. G. GUARÚS,Praça do Flamboyant 1,"(-21.7725578, -41.3072573)","(-21.7413698, -41.3129263)","((-21.7725578, -41.3072573), (-21.7413698, -41.3129263))",707
566,HOSP. G. GUARÚS,Rua Paraíso,"(-21.7229953, -41.3250517)","(-21.7413698, -41.3129263)","((-21.7229953, -41.3250517), (-21.7413698, -41.3129263))",640
567,HOSP. G. GUARÚS,Igreja Adventista do Sét. Dia Calabouco,"(-21.7386222, -41.3150859)","(-21.7413698, -41.3129263)","((-21.7386222, -41.3150859), (-21.7413698, -41.3129263))",191
568,HOSP. G. GUARÚS,Santa Rosa,"(-22.0294289, -41.0280592)","(-21.7413698, -41.3129263)","((-22.0294289, -41.0280592), (-21.7413698, -41.3129263))",4607
569,HOSP. G. GUARÚS,UBS Salo Brand,"(-21.7653521, -41.3059432)","(-21.7413698, -41.3129263)","((-21.7653521, -41.3059432), (-21.7413698, -41.3129263))",624
570,HOSP. G. GUARÚS,Canaã,"(-21.7592199, -41.3215318)","(-21.7413698, -41.3129263)","((-21.7592199, -41.3215318), (-21.7413698, -41.3129263))",481
571,HOSP. G. GUARÚS,Aeroporto Bartolomeu Lisandro,"(-21.7013937, -41.3073687)","(-21.7413698, -41.3129263)","((-21.7013937, -41.3073687), (-21.7413698, -41.3129263))",783
572,HOSP. G. GUARÚS,Av. Rui Barbosa,"(-21.7557442, -41.3080549)","(-21.7413698, -41.3129263)","((-21.7557442, -41.3080549), (-21.7413698, -41.3129263))",322
573,HOSP. G. GUARÚS,Ceasa Campos do G,"(-21.7681775, -41.3514521)","(-21.7413698, -41.3129263)","((-21.7681775, -41.3514521), (-21.7413698, -41.3129263))",985
574,HOSP. G. GUARÚS,Salo Brand,"(-21.7466594, -41.3216655)","(-21.7413698, -41.3129263)","((-21.7466594, -41.3216655), (-21.7413698, -41.3129263))",240
575,HOSP. G. GUARÚS,Tv. João Seixas,"(-21.7723261, -41.3237712)","(-21.7413698, -41.3129263)","((-21.7723261, -41.3237712), (-21.7413698, -41.3129263))",654
576,HOSP. G. GUARÚS,Ceasa,"(-21.7178297, -41.3022266)","(-21.7413698, -41.3129263)","((-21.7178297, -41.3022266), (-21.7413698, -41.3129263))",644
578,HOSP. G. GUARÚS,Chave do Paraíso,"(-21.3949836, -41.4497645)","(-21.7413698, -41.3129263)","((-21.3949836, -41.4497645), (-21.7413698, -41.3129263))",2962
579,HOSP. G. GUARÚS,Igreja Batista em Nova Canaã,"(-21.6541754, -41.31617749999999)","(-21.7413698, -41.3129263)","((-21.6541754, -41.31617749999999), (-21.7413698, -41.3129263))",1171
580,HOSP. SÃO JOSÉ,Alphaville,"(-21.7711892, -41.3106727)","(-21.8294589, -41.2949733)","((-21.7711892, -41.3106727), (-21.8294589, -41.2949733))",829
581,HOSP. SÃO JOSÉ,Baixa Grande,"(-21.9492435, -41.13520889999999)","(-21.8294589, -41.2949733)","((-21.9492435, -41.13520889999999), (-21.8294589, -41.2949733))",2094
582,HOSP. SÃO JOSÉ,Batista Ponto de Coqueiros,"(-21.9074616, -41.1586879)","(-21.8294589, -41.2949733)","((-21.9074616, -41.1586879), (-21.8294589, -41.2949733))",1693
583,HOSP. SÃO JOSÉ,Caju,"(-21.7444336, -41.3375268)","(-21.8294589, -41.2949733)","((-21.7444336, -41.3375268), (-21.8294589, -41.2949733))",1608
584,HOSP. SÃO JOSÉ,Campo Limpo,"(-21.8595722, -41.2413952)","(-21.8294589, -41.2949733)","((-21.8595722, -41.2413952), (-21.8294589, -41.2949733))",898
585,HOSP. SÃO JOSÉ,CEASA Campos dos G.,"(-21.7178297, -41.3022266)","(-21.8294589, -41.2949733)","((-21.7178297, -41.3022266), (-21.8294589, -41.2949733))",2043
586,HOSP. SÃO JOSÉ,Centro,"(-21.760181, -41.32211410000001)","(-21.8294589, -41.2949733)","((-21.760181, -41.32211410000001), (-21.8294589, -41.2949733))",1129
587,HOSP. SÃO JOSÉ,Chave do Paraíso de Deus,"(-21.3951104, -41.4486132)","(-21.8294589, -41.2949733)","((-21.3951104, -41.4486132), (-21.8294589, -41.2949733))",4389
588,HOSP. SÃO JOSÉ,Codim,"(-21.7106103, -41.2846222)","(-21.8294589, -41.2949733)","((-21.7106103, -41.2846222), (-21.8294589, -41.2949733))",2219
589,HOSP. SÃO JOSÉ,Conselheiro Josino,"(-21.5004534, -41.3437979)","(-21.8294589, -41.2949733)","((-21.5004534, -41.3437979), (-21.8294589, -41.2949733))",3426
590,HOSP. SÃO JOSÉ,Custodópolis,"(-21.7224988, -41.3097124)","(-21.8294589, -41.2949733)","((-21.7224988, -41.3097124), (-21.8294589, -41.2949733))",1952
591,HOSP. SÃO JOSÉ,Donana,"(-21.8211884, -41.2971687)","(-21.8294589, -41.2949733)","((-21.8211884, -41.2971687), (-21.8294589, -41.2949733))",128
592,HOSP. SÃO JOSÉ,Estr. Brejo Grande,"(-21.6869393, -41.2872059)","(-21.8294589, -41.2949733)","((-21.6869393, -41.2872059), (-21.8294589, -41.2949733))",2328
593,HOSP. SÃO JOSÉ,Estr. Bulgalho,"(-21.8392734, -41.2388999)","(-21.8294589, -41.2949733)","((-21.8392734, -41.2388999), (-21.8294589, -41.2949733))",899
594,HOSP. SÃO JOSÉ,Goytacazes,"(-21.8322841, -41.2683545)","(-21.8294589, -41.2949733)","((-21.8322841, -41.2683545), (-21.8294589, -41.2949733))",540
595,HOSP. SÃO JOSÉ,Guriri,"(-21.9089274, -41.4696266)","(-21.8294589, -41.2949733)","((-21.9089274, -41.4696266), (-21.8294589, -41.2949733))",2821
596,HOSP. SÃO JOSÉ,Horto,"(-21.7623448, -41.2984828)","(-21.8294589, -41.2949733)","((-21.7623448, -41.2984828), (-21.8294589, -41.2949733))",1005
597,HOSP. SÃO JOSÉ,Ibitioca,"(-21.8202798, -41.4690847)","(-21.8294589, -41.2949733)","((-21.8202798, -41.4690847), (-21.8294589, -41.2949733))",2315
598,HOSP. SÃO JOSÉ,Ips,"(-21.7810256, -41.32185610000001)","(-21.8294589, -41.2949733)","((-21.7810256, -41.32185610000001), (-21.8294589, -41.2949733))",883
599,HOSP. SÃO JOSÉ,Jardim Carioca,"(-21.7471402, -41.3247611)","(-21.8294589, -41.2949733)","((-21.7471402, -41.3247611), (-21.8294589, -41.2949733))",1580
600,HOSP. SÃO JOSÉ,Jardim das Acácias,"(-21.7924053, -41.297796)","(-21.8294589, -41.2949733)","((-21.7924053, -41.297796), (-21.8294589, -41.2949733))",526
601,HOSP. SÃO JOSÉ,Jardim São Benenedito (Praça Nilo Peçanha),"(-21.7646615, -41.3219307)","(-21.8294589, -41.2949733)","((-21.7646615, -41.3219307), (-21.8294589, -41.2949733))",1032
602,HOSP. SÃO JOSÉ,Lagoa das Pedras,"(-21.6666667, -41.3333333)","(-21.8294589, -41.2949733)","((-21.6666667, -41.3333333), (-21.8294589, -41.2949733))",2785
603,HOSP. SÃO JOSÉ,Lagoa de Cima,"(-21.7672222, -41.5169444)","(-21.8294589, -41.2949733)","((-21.7672222, -41.5169444), (-21.8294589, -41.2949733))",3272
604,HOSP. SÃO JOSÉ,Lapa,"(-21.7563171, -41.3128812)","(-21.8294589, -41.2949733)","((-21.7563171, -41.3128812), (-21.8294589, -41.2949733))",1229
605,HOSP. SÃO JOSÉ,Mineiros,"(-21.8800211, -41.2210236)","(-21.8294589, -41.2949733)","((-21.8800211, -41.2210236), (-21.8294589, -41.2949733))",1150
606,HOSP. SÃO JOSÉ,Nova Brasília,"(-21.7441893, -41.3581852)","(-21.8294589, -41.2949733)","((-21.7441893, -41.3581852), (-21.8294589, -41.2949733))",1628
607,HOSP. SÃO JOSÉ,Nova Campos,"(-21.7217011, -41.3103395)","(-21.8294589, -41.2949733)","((-21.7217011, -41.3103395), (-21.8294589, -41.2949733))",1930
608,HOSP. SÃO JOSÉ,Novo Jockey,"(-21.7792586, -41.2780066)","(-21.8294589, -41.2949733)","((-21.7792586, -41.2780066), (-21.8294589, -41.2949733))",955
609,HOSP. SÃO JOSÉ,Parque Aeroporto,"(-21.6969147, -41.307831)","(-21.8294589, -41.2949733)","((-21.6969147, -41.307831), (-21.8294589, -41.2949733))",2223
610,HOSP. SÃO JOSÉ,Parque Aldeia,"(-21.7254055, -41.332284)","(-21.8294589, -41.2949733)","((-21.7254055, -41.332284), (-21.8294589, -41.2949733))",2085
611,HOSP. SÃO JOSÉ,Parque Alvorada,"(-21.7429556, -41.3184913)","(-21.8294589, -41.2949733)","((-21.7429556, -41.3184913), (-21.8294589, -41.2949733))",1620
612,HOSP. SÃO JOSÉ,Parque Alzira Vargas,"(-21.7656981, -41.3252314)","(-21.8294589, -41.2949733)","((-21.7656981, -41.3252314), (-21.8294589, -41.2949733))",1127
613,HOSP. SÃO JOSÉ,Parque Aurora,"(-21.7788905, -41.3235073)","(-21.8294589, -41.2949733)","((-21.7788905, -41.3235073), (-21.8294589, -41.2949733))",973
614,HOSP. SÃO JOSÉ,Parque Avenida Pelinca,"(-21.7604812, -41.3320547)","(-21.8294589, -41.2949733)","((-21.7604812, -41.3320547), (-21.8294589, -41.2949733))",1389
615,HOSP. SÃO JOSÉ,Parque Bandeirantes,"(-21.7213412, -41.309035)","(-21.8294589, -41.2949733)","((-21.7213412, -41.309035), (-21.8294589, -41.2949733))",1987
616,HOSP. SÃO JOSÉ,Parque Bela Vista,"(-21.7984896, -41.2968969)","(-21.8294589, -41.2949733)","((-21.7984896, -41.2968969), (-21.8294589, -41.2949733))",453
617,HOSP. SÃO JOSÉ,Parque Boa Vista,"(-21.6943045, -41.3184913)","(-21.8294589, -41.2949733)","((-21.6943045, -41.3184913), (-21.8294589, -41.2949733))",2416
618,HOSP. SÃO JOSÉ,Parque Bonsucesso,"(-21.7209727, -41.3145352)","(-21.8294589, -41.2949733)","((-21.7209727, -41.3145352), (-21.8294589, -41.2949733))",1814
619,HOSP. SÃO JOSÉ,Parque Calabouco,"(-21.7372533, -41.3172373)","(-21.8294589, -41.2949733)","((-21.7372533, -41.3172373), (-21.8294589, -41.2949733))",1652
620,HOSP. SÃO JOSÉ,Parque Califórnia,"(-21.759319, -41.306149)","(-21.8294589, -41.2949733)","((-21.759319, -41.306149), (-21.8294589, -41.2949733))",1123
621,HOSP. SÃO JOSÉ,Parque Cidade Luz,"(-21.722603, -41.3319192)","(-21.8294589, -41.2949733)","((-21.722603, -41.3319192), (-21.8294589, -41.2949733))",2159
622,HOSP. SÃO JOSÉ,Parque Conselheiro Tomaz Coelho,"(-21.7544774, -41.3286465)","(-21.8294589, -41.2949733)","((-21.7544774, -41.3286465), (-21.8294589, -41.2949733))",1380
623,HOSP. SÃO JOSÉ,Parque Corrientes,"(-21.7454786, -41.3534142)","(-21.8294589, -41.2949733)","((-21.7454786, -41.3534142), (-21.8294589, -41.2949733))",1573
624,HOSP. SÃO JOSÉ,Parque do Prado,"(-21.7955985, -41.2952869)","(-21.8294589, -41.2949733)","((-21.7955985, -41.2952869), (-21.8294589, -41.2949733))",585
625,HOSP. SÃO JOSÉ,Parque Dom Bosco,"(-21.7608174, -41.3379783)","(-21.8294589, -41.2949733)","((-21.7608174, -41.3379783), (-21.8294589, -41.2949733))",1287
626,HOSP. SÃO JOSÉ,Parque dos Rodoviários,"(-21.7557367, -41.34665940000001)","(-21.8294589, -41.2949733)","((-21.7557367, -41.34665940000001), (-21.8294589, -41.2949733))",1443
627,HOSP. SÃO JOSÉ,Parque Dr. Beda,"(-21.7838389, -41.3220171)","(-21.8294589, -41.2949733)","((-21.7838389, -41.3220171), (-21.8294589, -41.2949733))",939
628,HOSP. SÃO JOSÉ,Parque Eldorado,"(-21.7148183, -41.3031301)","(-21.8294589, -41.2949733)","((-21.7148183, -41.3031301), (-21.8294589, -41.2949733))",2033
629,HOSP. SÃO JOSÉ,Parque Esplanada,"(-21.7466603, -41.3630875)","(-21.8294589, -41.2949733)","((-21.7466603, -41.3630875), (-21.8294589, -41.2949733))",1717
630,HOSP. SÃO JOSÉ,Parque Fazenda Grande,"(-21.7776963, -41.3122208)","(-21.8294589, -41.2949733)","((-21.7776963, -41.3122208), (-21.8294589, -41.2949733))",811
631,HOSP. SÃO JOSÉ,Parque Fazendinha Campos dos G.,"(-21.7614561, -41.3167841)","(-21.8294589, -41.2949733)","((-21.7614561, -41.3167841), (-21.8294589, -41.2949733))",1092
632,HOSP. SÃO JOSÉ,Parque Flamboyant,"(-21.7751086, -41.3046953)","(-21.8294589, -41.2949733)","((-21.7751086, -41.3046953), (-21.8294589, -41.2949733))",788
633,HOSP. SÃO JOSÉ,Parque Fundão,"(-21.727279, -41.3283031)","(-21.8294589, -41.2949733)","((-21.727279, -41.3283031), (-21.8294589, -41.2949733))",1990
634,HOSP. SÃO JOSÉ,Parque Guarus,"(-21.7210448, -41.32179259999999)","(-21.8294589, -41.2949733)","((-21.7210448, -41.32179259999999), (-21.8294589, -41.2949733))",2004
635,HOSP. SÃO JOSÉ,Parque Imperial,"(-21.8038887, -41.30406809999999)","(-21.8294589, -41.2949733)","((-21.8038887, -41.30406809999999), (-21.8294589, -41.2949733))",488
636,HOSP. SÃO JOSÉ,Parque João Maria,"(-21.7739168, -41.3214584)","(-21.8294589, -41.2949733)","((-21.7739168, -41.3214584), (-21.8294589, -41.2949733))",1016
637,HOSP. SÃO JOSÉ,Parque João Seixas,"(-21.768398, -41.325772)","(-21.8294589, -41.2949733)","((-21.768398, -41.325772), (-21.8294589, -41.2949733))",1037
638,HOSP. SÃO JOSÉ,Parque Jóquei Club,"(-21.7801522, -41.2926106)","(-21.8294589, -41.2949733)","((-21.7801522, -41.2926106), (-21.8294589, -41.2949733))",706
639,HOSP. SÃO JOSÉ,Parque José do Patrocínio,"(-21.7799453, -41.3027016)","(-21.8294589, -41.2949733)","((-21.7799453, -41.3027016), (-21.8294589, -41.2949733))",668
640,HOSP. SÃO JOSÉ,Parque Julião Nogueira,"(-21.7504512, -41.3525693)","(-21.8294589, -41.2949733)","((-21.7504512, -41.3525693), (-21.8294589, -41.2949733))",1550
641,HOSP. SÃO JOSÉ,Parque Leopoldina,"(-21.7531904, -41.3429396)","(-21.8294589, -41.2949733)","((-21.7531904, -41.3429396), (-21.8294589, -41.2949733))",1378
642,HOSP. SÃO JOSÉ,Parque Maciel,"(-21.7580768, -41.3046953)","(-21.8294589, -41.2949733)","((-21.7580768, -41.3046953), (-21.8294589, -41.2949733))",1147
643,HOSP. SÃO JOSÉ,Parque Menezes,"(-21.7894288, -41.2714453)","(-21.8294589, -41.2949733)","((-21.7894288, -41.2714453), (-21.8294589, -41.2949733))",996
644,HOSP. SÃO JOSÉ,Parque Nova Canaã,"(-21.6559772, -41.3151397)","(-21.8294589, -41.2949733)","((-21.6559772, -41.3151397), (-21.8294589, -41.2949733))",2548
645,HOSP. SÃO JOSÉ,Parque Novo Mundo,"(-21.725373, -41.3122849)","(-21.8294589, -41.2949733)","((-21.725373, -41.3122849), (-21.8294589, -41.2949733))",1813
646,HOSP. SÃO JOSÉ,Parque Oliveira Botelho,"(-21.7604986, -41.3121057)","(-21.8294589, -41.2949733)","((-21.7604986, -41.3121057), (-21.8294589, -41.2949733))",1094
647,HOSP. SÃO JOSÉ,Parque Pecuária,"(-21.7371193, -41.3498333)","(-21.8294589, -41.2949733)","((-21.7371193, -41.3498333), (-21.8294589, -41.2949733))",1822
648,HOSP. SÃO JOSÉ,Parque Prazeres,"(-21.745628, -41.2999789)","(-21.8294589, -41.2949733)","((-21.745628, -41.2999789), (-21.8294589, -41.2949733))",1617
649,HOSP. SÃO JOSÉ,Parque Presidente Juscelino,"(-21.7596981, -41.3459159)","(-21.8294589, -41.2949733)","((-21.7596981, -41.3459159), (-21.8294589, -41.2949733))",1418
650,HOSP. SÃO JOSÉ,Parque Presidente Vargas,"(-21.7260655, -41.317008)","(-21.8294589, -41.2949733)","((-21.7260655, -41.317008), (-21.8294589, -41.2949733))",1727
651,HOSP. SÃO JOSÉ,Parque Real,"(-21.8366441, -41.2571894)","(-21.8294589, -41.2949733)","((-21.8366441, -41.2571894), (-21.8294589, -41.2949733))",773
652,HOSP. SÃO JOSÉ,Parque Riachuelo,"(-21.7572162, -41.3087929)","(-21.8294589, -41.2949733)","((-21.7572162, -41.3087929), (-21.8294589, -41.2949733))",1158
653,HOSP. SÃO JOSÉ,Parque Rio Branco,"(-21.7339535, -41.3100007)","(-21.8294589, -41.2949733)","((-21.7339535, -41.3100007), (-21.8294589, -41.2949733))",1686
654,HOSP. SÃO JOSÉ,Parque Rosario,"(-21.7735407, -41.3287998)","(-21.8294589, -41.2949733)","((-21.7735407, -41.3287998), (-21.8294589, -41.2949733))",1084
655,HOSP. SÃO JOSÉ,Parque Rui Barbosa,"(-21.7845661, -41.33109779999999)","(-21.8294589, -41.2949733)","((-21.7845661, -41.33109779999999), (-21.8294589, -41.2949733))",1067
656,HOSP. SÃO JOSÉ,Parque Salo Brand,"(-21.762943, -41.3046953)","(-21.8294589, -41.2949733)","((-21.762943, -41.3046953), (-21.8294589, -41.2949733))",1012
657,HOSP. SÃO JOSÉ,Parque Santa Clara,"(-21.7355396, -41.3128479)","(-21.8294589, -41.2949733)","((-21.7355396, -41.3128479), (-21.8294589, -41.2949733))",1706
658,HOSP. SÃO JOSÉ,Parque Santa Helena,"(-21.7317869, -41.3272689)","(-21.8294589, -41.2949733)","((-21.7317869, -41.3272689), (-21.8294589, -41.2949733))",1878
659,HOSP. SÃO JOSÉ,Parque Santa Rosa,"(-21.7266046, -41.2998911)","(-21.8294589, -41.2949733)","((-21.7266046, -41.2998911), (-21.8294589, -41.2949733))",1900
660,HOSP. SÃO JOSÉ,Parque Santo Amaro,"(-21.7638038, -41.3393716)","(-21.8294589, -41.2949733)","((-21.7638038, -41.3393716), (-21.8294589, -41.2949733))",1290
661,HOSP. SÃO JOSÉ,Parque Santo Antônio,"(-21.742082, -41.3268346)","(-21.8294589, -41.2949733)","((-21.742082, -41.3268346), (-21.8294589, -41.2949733))",1602
662,HOSP. SÃO JOSÉ,Parque Santos Dumont,"(-21.6869265, -41.3147291)","(-21.8294589, -41.2949733)","((-21.6869265, -41.3147291), (-21.8294589, -41.2949733))",2324
663,HOSP. SÃO JOSÉ,Parque São Caetano,"(-21.7580002, -41.3428678)","(-21.8294589, -41.2949733)","((-21.7580002, -41.3428678), (-21.8294589, -41.2949733))",1305
664,HOSP. SÃO JOSÉ,Parque São Domingos,"(-21.7268664, -41.3053224)","(-21.8294589, -41.2949733)","((-21.7268664, -41.3053224), (-21.8294589, -41.2949733))",1879
665,HOSP. SÃO JOSÉ,Parque São José,"(-21.7259022, -41.3330687)","(-21.8294589, -41.2949733)","((-21.7259022, -41.3330687), (-21.8294589, -41.2949733))",2107
666,HOSP. SÃO JOSÉ,Parque São Mateus,"(-21.7163376, -41.314237)","(-21.8294589, -41.2949733)","((-21.7163376, -41.314237), (-21.8294589, -41.2949733))",1969
667,HOSP. SÃO JOSÉ,Parque São Silvestre,"(-21.7124775, -41.3037914)","(-21.8294589, -41.2949733)","((-21.7124775, -41.3037914), (-21.8294589, -41.2949733))",2056
668,HOSP. SÃO JOSÉ,Parque Tamandaré,"(-21.7560324, -41.3380643)","(-21.8294589, -41.2949733)","((-21.7560324, -41.3380643), (-21.8294589, -41.2949733))",1391
669,HOSP. SÃO JOSÉ,Parque Tarcísio Miranda,"(-21.7816047, -41.3044567)","(-21.8294589, -41.2949733)","((-21.7816047, -41.3044567), (-21.8294589, -41.2949733))",677
670,HOSP. SÃO JOSÉ,Parque Tropical,"(-21.8147625, -41.3003049)","(-21.8294589, -41.2949733)","((-21.8147625, -41.3003049), (-21.8294589, -41.2949733))",367
671,HOSP. SÃO JOSÉ,Parque Turf Club,"(-21.7691851, -41.3094894)","(-21.8294589, -41.2949733)","((-21.7691851, -41.3094894), (-21.8294589, -41.2949733))",864
672,HOSP. SÃO JOSÉ,Parque Varanda do Visconde,"(-21.8057227, -41.2998133)","(-21.8294589, -41.2949733)","((-21.8057227, -41.2998133), (-21.8294589, -41.2949733))",381
673,HOSP. SÃO JOSÉ,Parque Vera Cruz,"(-21.7360076, -41.32915)","(-21.8294589, -41.2949733)","((-21.7360076, -41.32915), (-21.8294589, -41.2949733))",1839
674,HOSP. SÃO JOSÉ,Parque Vicente Gonçalves Dias,"(-21.7494167, -41.3172373)","(-21.8294589, -41.2949733)","((-21.7494167, -41.3172373), (-21.8294589, -41.2949733))",1420
675,HOSP. SÃO JOSÉ,Penha,"(-21.7925146, -41.2833674)","(-21.8294589, -41.2949733)","((-21.7925146, -41.2833674), (-21.8294589, -41.2949733))",730
676,HOSP. SÃO JOSÉ,Pernambuca,"(-21.8075866, -41.49712479999999)","(-21.8294589, -41.2949733)","((-21.8075866, -41.49712479999999), (-21.8294589, -41.2949733))",2758
677,HOSP. SÃO JOSÉ,Poço Gordo,"(-21.8329253, -41.2275795)","(-21.8294589, -41.2949733)","((-21.8329253, -41.2275795), (-21.8294589, -41.2949733))",905
678,HOSP. SÃO JOSÉ,Ponta da Lama,"(-21.8370393, -41.4279283)","(-21.8294589, -41.2949733)","((-21.8370393, -41.4279283), (-21.8294589, -41.2949733))",1996
679,HOSP. SÃO JOSÉ,Ponte de Coqueiros de Tócos,"(-21.8855681, -41.3109986)","(-21.8294589, -41.2949733)","((-21.8855681, -41.3109986), (-21.8294589, -41.2949733))",1369
680,HOSP. SÃO JOSÉ,Rio Preto,"(-21.7256414938058, -41.56115161423796)","(-21.8294589, -41.2949733)","((-21.7256414938058, -41.56115161423796), (-21.8294589, -41.2949733))",3574
681,HOSP. SÃO JOSÉ,Santa Ana,"(-21.6320294, -41.2526158)","(-21.8294589, -41.2949733)","((-21.6320294, -41.2526158), (-21.8294589, -41.2949733))",2988
682,HOSP. SÃO JOSÉ,Santa Cruz,"(-21.7260788, -41.4043264)","(-21.8294589, -41.2949733)","((-21.7260788, -41.4043264), (-21.8294589, -41.2949733))",2224
683,HOSP. SÃO JOSÉ,São Martinho,"(-22.0103593, -41.210161)","(-21.8294589, -41.2949733)","((-22.0103593, -41.210161), (-21.8294589, -41.2949733))",2193
684,HOSP. SÃO JOSÉ,São Sebastião de Campos,"(-21.8551344, -41.2114491)","(-21.8294589, -41.2949733)","((-21.8551344, -41.2114491), (-21.8294589, -41.2949733))",1183
685,HOSP. SÃO JOSÉ,Saturnino Braga,"(-21.8882808, -41.1980852)","(-21.8294589, -41.2949733)","((-21.8882808, -41.1980852), (-21.8294589, -41.2949733))",1461
686,HOSP. SÃO JOSÉ,Tapera,"(-21.788252, -41.3936825)","(-21.8294589, -41.2949733)","((-21.788252, -41.3936825), (-21.8294589, -41.2949733))",1718
687,HOSP. SÃO JOSÉ,Terra Prometida,"(-21.7139788, -41.2798345)","(-21.8294589, -41.2949733)","((-21.7139788, -41.2798345), (-21.8294589, -41.2949733))",2383
688,HOSP. SÃO JOSÉ,Tocos,"(-21.9007729, -41.2831951)","(-21.8294589, -41.2949733)","((-21.9007729, -41.2831951), (-21.8294589, -41.2949733))",1193
689,HOSP. SÃO JOSÉ,Travessão,"(-21.6070678, -41.3126835)","(-21.8294589, -41.2949733)","((-21.6070678, -41.3126835), (-21.8294589, -41.2949733))",2750
690,HOSP. SÃO JOSÉ,Ururai,"(-21.8117267, -41.3924302)","(-21.8294589, -41.2949733)","((-21.8117267, -41.3924302), (-21.8294589, -41.2949733))",1889
