Clientes;Bairros;2017;2018;2019;2020;Total
Jardim Res. Planície;Residencial Planície, Jardim;;;4;;4
Parque Riachuelo;Riachuelo, Parque;4;66;9;;79
Ribeiro do Amaro - Travessão;Ribeiro do Amaro;24;;;;24
Rio Preto;Rio Preto;2;8;;;10
Parque dos Rodoviários;Rodoviários, Parque dos;112;114;141;;367
Parque Rosario;Rosário, Parque;201;244;369;;814
Parque Rui Barbosa;Rui Barbosa, Parque;4;8;6;;18
Parque Salo Brand;Salo Brand, Parque;6;4;9;;19
Santa Ana;Santa Ana;8;;24;;32
Parque Santa Clara;Santa Clara;9;77;57;;143
Santa Cruz;Santa Cruz;44;42;97;;183
Parque Santa Helena;Santa Helena, Parque;85;8;44;;137
Santa Maria de Campos;Santa Maria;0;0;;;0
Parque Santa Rosa;Santa Rosa, Parque;255;219;69;;543
Parque Santo Amaro;Santo Amaro, Parque;119;87;80;;286
Parque Santo Antonio;Santo Antônio, Parque;26;16;50;;92
Santo Eduardo;Santo Eduardo;24;;;;24
Parque Santos Dumont;Santos Dumont;8;33;30;;71
Parque Sao Benedito;São Benedito, Parque;40;28;8;;76
Parque São Caetano;São Caetano, Parque;94;53;25;;172
Parque São Clemente;São Clemente, Parque;;2;4;;6
São Diogo - Vila Nova de Campos;São Diogo;0;;0;;0
Parque Sao Domingos;São Domingos, Parque;;29;4;;33
Parque Sao Jose;São José, Parque;74;64;51;;189
Parque São Lino;São Lino, Parque;;4;0;;4
São Martinho Santo Amaro de Campos;São Martinho;0;10;0;;10
Parque Sao Mateus;São Mateus, Parque;35;40;26;;101
Parque São Salvador;São Salvador, Parque;;2;;;2
São Sebastião De Campos;São Sebastião De Campos;4;14;12;;30
Parque Sao Silvestre;São Silvestre, Parque;13;23;20;;56
Pecuária;Sapucaia;;4;;;4
Saturnino Braga;Saturnino Braga;20;21;54;;95
Sumaré ;Sumaré, Parque;4;8;;;12
Parque Tamandaré;Tamandaré, Parque;98;64;111;;273
Tapera;Tapera;173;49;147;;369
Taquara (São Fidélis);Taquara;2;;;;2
Parque Tarcisio Miranda;Tarcísio Miranda, Parque;70;31;129;;230
Terra Prometida;Terra Prometida;2;10;22;;34
Tocaia;Tocaia;;0;6;;6
Tocos;Tócos;4;58;16;;78
Travessão;Travessão;90;136;54;;280
Três venda;Três Vendas;0;;4;;4
Parque Tropical;Tropical, Parque;0;21;4;;25
Parque Turf Club;Turf Club, Parque;334;321;280;0;935
Ururai;Ururaí;16;68;40;;124
Usina São João;Usina São João;6;;;;6
Parque Varanda do Visc.;Varanda do Visconde;6;0;;;6
Venda Nova;Venda Nova;4;0;0;;4
Parque Vera Cruz;Vera Cruz, Parque;44;31;16;;91
Parque Vicente Goncalves Dias;Vicente Gonçalves Dias, Parque;118;163;32;;313
Goytacazes;Viegas;;;4;;4
Vila MANHÃES;Vila Manhães;0;40;44;;84
Parque Menezes;Vila Menezes;2;;;;2
Vila Nova de Campos;Vila Nova De Campos;0;4;;;4
Pracinha I da Vila Romana;Vila Romana;6;;;;6
Vila Tião De Paulo (São Fidélis);Vila Tião De Paulo;;25;;;25
Parque Visc. de Ururai;Visconde De Ururaí;38;39;45;;122
Parque Vista Alegre;Vista Alegre, Parque;0;32;2;;34
Vivendas Do Coqueiro;Vivendas Coqueiro;2;1;1;;4
Parque Calabouço;Zuza Mota, Parque;2;24;2;;28
